Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2020-09-10 11:57:57,54900,,,"#vaccine,#MainstreamMedia,#vaccines,#technocrats,#WO2017070626A2,#Hollywood",6,"@AliBeckZeck,@ryan__martin__,@revive_yourself,@RJM20,@AliBeckZeck,@AliBeckZeck,@alec.zeck,@alec.zeck,@AliBeckZeck,@magikelly_,@alec.zeck,@Alec_Zeck,@pubmed_joe",13
2020-09-19 19:05:25,59100,,,"#TheSocialDilemma,#BigPharma,#vaccines,#Agenda2030,#mentalillness,#BigPharma,#conspiracytheorist,#mask,#IDoNotConsent,#selfgrowth,#addiction",11,"@AliBeckZeck,@netflix,@AliBeckZeck,@AliBeckZeck,@AliBeckZeck,@kellybroganmd,@garret_kramer,@AliBeckZeck,@AliBeckZeck,@AliBeckZeck,@AliBeckZeck,@AliBeckZeck,@kellybroganmd,@joyimd,@emmazeck_",15
2020-11-08 22:17:10,78600,,,"#Agenda2030,#trauma,#mentalillness,#censorship,#truth,#glassforsenate,#governorcuomo,#medicalfreedomactivist,#medicalfreedomofchoice,#medicalfreedomwarrior,#bodysovereignty,#mybodymychoice,#newyorksenate,#votenewyork,#votenewyorkstate,#newyorkvotes,#district27nyc",17,"@garret_kramer,@AliBeckZeck,@AliBeckZeck,@AliBeckZeck,@AliBeckZeck,@AliBeckZeck,@AliBeckZeck,@AliBeckZeck,@BandyXLee1,@winstonmontag911,@reginadon,@glass_for_senate",12
